#{"t_start": 1765440094.0356874, "env_id": "custom-highway-v0"}
r,l,t
9.022649,11,1.285737
10.230566,12,2.561393
10.253919,13,4.206165
7.866904,10,5.292798
12.095851,15,6.862432
4.816852,6,7.509134
15.043166,18,9.590929
4.507936,6,10.228297
7.736706,10,11.248083
8.792459,11,12.389928
2.774752,4,12.793503
1.974698,3,13.10303
3.493109,5,13.640245
0.966141,2,13.832257
10.37873,12,15.095142
0.955998,2,15.341318
5.631075,7,15.989375
21.091588,24,18.41273
9.925643,12,19.908136
6.91258,8,20.819718
2.737392,4,21.315627
8.56123,10,22.450096
5.813408,7,23.240656
5.208681,7,24.067717
7.363244,9,25.136577
7.075034,9,26.14388
4.423693,6,26.890503
7.123851,9,27.839655
3.752283,5,28.375081
2.83908,4,28.834616
32.255029,40,33.451
22.042957,26,36.50986
1.889904,3,36.818576
11.414008,14,38.337047
6.408398,8,39.217269
6.279113,8,40.107493
13.804877,17,42.094628
1.893581,3,42.406055
8.378621,11,43.607463
2.836743,4,44.035298
8.268642,10,45.111425
2.123171,3,45.455353
6.524836,8,46.386004
3.868232,5,46.85114
11.016905,14,48.176402
8.016093,10,49.370243
15.206623,18,51.195452
4.531836,6,51.96806
0.99816,2,52.189841
3.914632,5,52.849694
13.008538,15,54.570758
9.437233,11,55.753654
5.950164,7,56.539749
1.077643,2,56.730813
9.631868,12,57.992474
2.000856,3,58.319954
1.950149,3,58.621184
11.892492,15,60.292353
4.859095,6,60.918928
3.673174,5,61.466487
34.624555,40,65.597384
6.60766,8,66.443564
1.812151,3,66.736756
4.754567,6,67.32464
10.398578,13,68.607593
6.56787,8,69.486075
4.46074,6,70.137726
19.168794,23,72.78916
5.035279,7,73.478441
28.139491,31,76.834691
31.760698,40,81.159711
2.952917,4,81.600693
8.645074,11,82.832579
6.318941,8,83.645897
1.717985,3,83.94995
6.79906,8,84.782005
1.073584,2,85.013942
4.579019,6,85.716912
6.419857,8,86.601738
6.453881,8,87.420756
7.838201,10,88.455664
2.751985,4,88.884596
0.990377,2,89.087834
10.88902,13,90.42731
5.617068,7,91.253302
33.401547,40,96.442414
4.72729,6,97.144018
10.036623,12,98.339162
2.023343,3,98.62373
5.740529,7,99.271957
10.025415,12,100.719248
11.155382,14,102.259983
0.952581,2,102.474641
10.55694,12,103.799484
6.915578,8,104.661813
9.9517,12,105.942071
11.528679,14,107.529287
2.727336,4,107.927658
1.148812,2,108.147812
11.631596,15,109.649986
7.66374,10,110.818361
10.153734,13,112.175614
7.004575,9,113.094712
10.546017,13,114.507967
12.008912,15,116.273741
10.650623,13,117.632626
2.787963,4,118.099903
1.984049,3,118.473078
1.982562,3,118.782769
3.950236,5,119.38643
8.290385,10,120.543078
2.006985,3,120.872016
6.5403,8,121.799913
2.974035,4,122.219682
18.347181,22,124.523304
8.930663,10,125.626366
6.2674,8,126.461255
0.987808,2,126.684781
5.137954,7,127.443171
1.850155,3,127.732719
1.83734,3,128.042382
8.017567,10,129.023419
3.550279,5,129.584688
28.437224,40,133.877409
5.199339,7,134.605442
10.744312,13,136.034094
10.989966,14,137.47737
22.804945,25,140.293854
1.82,3,140.657659
1.087504,2,140.877486
10.313195,13,142.303387
5.58336,7,143.03665
9.335795,12,144.449124
6.717476,9,145.425136
12.678426,15,147.126999
4.855294,6,147.854452
11.06076,13,149.362501
8.299184,10,150.338538
3.622431,5,150.830811
1.982667,3,151.212181
9.215595,11,152.695294
32.32407,40,157.124318
28.229985,40,161.573349
9.127896,11,162.763088
33.236357,40,167.080155
8.495771,11,168.251454
4.46335,6,168.942178
7.102459,9,169.86271
21.768947,24,172.404567
9.603654,12,173.591573
3.011006,4,174.13008
2.743902,4,174.565692
3.84151,5,175.130859
7.793069,10,176.178256
6.438494,8,177.041306
2.688468,4,177.484266
9.933046,12,178.780474
6.952902,9,179.851139
17.78342,21,182.331519
6.13403,8,183.266673
6.974991,9,184.286619
4.884305,6,185.068932
29.456911,40,189.756756
4.739094,6,190.422445
4.485747,6,190.994206
4.011622,5,191.53002
12.137571,15,193.051732
2.713724,4,193.473581
6.977575,9,194.367958
1.997741,3,194.679449
5.672726,7,195.394683
2.674127,4,195.791747
6.964763,9,196.843673
2.635303,4,197.267226
5.329999,7,198.058558
1.988309,3,198.405578
11.696384,14,199.921627
5.793061,7,200.701132
3.758621,5,201.175791
2.866431,4,201.573557
11.91612,15,203.188044
31.136167,40,207.912182
11.386318,14,209.388623
5.483577,7,210.174421
8.945563,10,211.279173
4.641042,6,211.899193
4.73401,6,212.486215
4.468395,6,213.232415
9.748649,12,214.494708
2.062654,3,214.845039
6.21524,8,215.701757
10.937955,14,217.237448
4.54883,6,217.819571
10.529887,13,219.248951
7.564025,9,220.257768
8.51635,11,221.521272
4.776863,6,222.280533
23.337696,26,225.506014
10.037566,13,228.737957
8.143061,10,229.892424
3.476602,5,230.453419
8.891606,11,231.65623
2.643425,4,232.069976
8.315173,10,233.111388
10.991201,14,234.530805
2.768961,4,234.915812
7.394109,9,235.796499
7.195915,9,236.690069
12.682782,15,238.171253
11.774362,15,239.719907
6.467139,8,240.485492
10.259632,13,242.189013
11.552812,14,243.810345
9.16112,12,245.201953
1.043965,2,245.438151
5.161402,7,246.123324
30.691217,40,250.747831
4.73027,6,251.325186
10.464748,13,252.848322
2.942138,4,253.251822
12.040785,14,254.755002
1.859609,3,255.151926
17.93395,20,257.382311
32.467078,40,261.857517
10.322644,13,263.30794
8.481557,11,264.469875
0.988769,2,264.686784
4.865689,6,265.261482
35.226109,40,269.660862
4.616834,6,270.254667
7.433676,9,271.17231
9.301165,11,272.39523
11.127183,13,273.673541
3.758289,5,274.170382
29.251548,40,278.404561
3.795075,5,278.953404
11.063276,13,280.297035
4.582751,6,280.95649
9.390923,12,282.23022
3.363879,5,282.732231
4.583398,6,283.316692
31.558977,40,287.898086
9.718417,12,289.111431
10.916246,13,290.560101
10.956301,14,291.970555
12.777638,14,293.513209
2.767218,4,293.918499
9.471405,12,295.234934
8.354416,10,296.274932
6.815783,9,297.250619
8.384556,10,298.323258
8.994901,11,299.484432
10.462158,13,300.944397
9.938892,13,302.325473
8.493075,10,303.438065
4.696705,6,304.088595
9.450743,12,305.330242
10.891319,14,306.935241
4.577419,6,307.547424
2.806552,4,307.936558
1.872876,3,308.272482
9.584258,11,309.424394
12.669522,15,310.882687
2.690296,4,311.356482
2.832622,4,311.826288
2.783987,4,312.280643
10.739762,13,313.677658
1.997915,3,313.957749
4.658443,6,314.577972
8.790774,11,315.737826
2.857514,4,316.187843
30.203792,40,320.694257
8.340304,10,321.664
4.245583,6,322.25507
8.357204,11,323.445444
8.646972,11,324.550654
1.82351,3,324.853985
27.638713,40,329.37393
9.124092,11,330.501303
31.287581,40,334.642749
7.961445,10,335.69095
8.091577,10,336.71532
5.129005,7,337.392299
10.432253,13,338.733216
8.643165,11,340.098353
8.324411,10,341.538715
12.243944,15,343.444147
6.377294,8,344.249019
4.652608,6,344.885283
1.80315,3,345.186087
6.491785,8,346.097799
3.586677,5,346.602061
10.028276,12,347.943729
9.030636,11,349.174263
7.470679,9,350.102386
2.696442,4,350.535206
32.173637,40,354.944954
11.105328,14,356.506708
10.118142,13,358.03291
11.392584,13,359.41557
7.391025,9,360.407973
5.011191,7,361.453255
9.947828,12,362.966579
9.5154,12,364.311932
10.434944,12,365.6692
30.66858,40,370.485244
4.634669,6,371.180649
11.108928,14,372.587132
9.709009,12,373.790794
6.496712,8,374.572155
10.272321,13,375.983322
10.872627,13,377.387215
12.167223,15,378.867805
3.026062,4,379.305556
19.606196,22,381.9142
9.962939,12,383.060192
6.562281,8,383.884495
2.923102,4,384.328537
11.792117,14,385.715103
11.326058,14,387.271151
5.135141,7,387.952929
6.955462,9,388.894348
1.787591,3,389.196793
6.07274,8,390.060242
9.226923,12,391.435482
3.610799,5,392.03031
7.522543,9,392.991204
1.819425,3,393.307216
5.900833,7,394.028908
11.819733,15,395.785584
20.85937,24,398.463646
1.034941,2,398.64475
3.581465,5,399.161969
6.646086,8,400.025749
1.957673,3,400.310282
2.951512,4,400.705233
